Area code [note 2],Area name,All persons,"Aged 4 years and under
[note 12]","Aged 5 to 9 years
[note 12]","Aged 10 to 14 years
[note 12]","Aged 15 to 19 years
[note 12]","Aged 20 to 24 years
[note 12]","Aged 25 to 29 years
[note 12]","Aged 30 to 34 years
[note 12]","Aged 35 to 39 years
[note 12]","Aged 40 to 44 years
[note 12]","Aged 45 to 49 years
[note 12]","Aged 50 to 54 years
[note 12]","Aged 55 to 59 years
[note 12]","Aged 60 to 64 years
[note 12]","Aged 65 to 69 years
[note 12]","Aged 70 to 74 years
[note 12]","Aged 75 to 79 years
[note 12]","Aged 80 to 84 years
[note 12]","Aged 85 to 89 years
[note 12]","Aged 90 years and over
[note 12]"
K04000001,England and Wales,59597300,3232100,3524600,3595900,3394700,3602100,3901800,4148800,3981600,3755700,3788700,4123400,4029000,3455700,2945100,2978000,2170300,1517000,925100,527900
E92000001,England,56489800,3077000,3348600,3413100,3218900,3414400,3715400,3952600,3795400,3580400,3602600,3907700,3806300,3256100,2767500,2796600,2038800,1427900,872200,498200
E12000001,North East,2647100,134300,150500,154400,150100,162900,160700,168000,163400,152200,159000,183400,192300,175200,151700,148400,101300,73300,43400,22500
E06000047,County Durham,522100,24800,28400,29500,31200,33100,29200,30700,30600,29200,31600,37900,39500,35100,31000,30700,21700,15100,8500,4300
E06000005,Darlington,107800,5500,6300,6600,5800,5400,6400,7000,6600,6600,6900,7800,7900,7000,6000,6000,4200,3100,1800,1000
E06000001,Hartlepool,92300,5000,5600,5900,5200,5100,5500,5900,5500,5100,5400,6600,7100,6300,5300,5100,3200,2500,1500,700
E06000002,Middlesbrough,143900,8900,9800,9500,8600,10200,10300,10300,9400,8000,7900,8700,9400,8700,7200,6500,4300,3200,2000,1000
E06000057,Northumberland,320600,14200,16700,17400,15700,13900,15900,16900,17400,17400,19700,23200,25800,24800,22600,23000,15800,10600,6200,3400
E06000003,Redcar and Cleveland,136500,6800,7900,8000,7100,6600,7500,7900,7600,7300,7900,10000,10700,9600,8500,8700,6300,4500,2500,1300
E06000004,Stockton-on-Tees,196600,10700,12400,13000,10600,9700,11900,13100,13100,12000,12200,13900,14000,12700,10800,10300,6900,4900,2900,1500
E11000007,Tyne and Wear (Met County),1127200,58400,63400,64400,65900,79000,74000,76200,73300,66600,67300,75200,78100,71000,60300,58200,38800,29500,18000,9400
E08000037,Gateshead,196100,10100,11100,11300,10100,10300,12700,13100,13000,11900,12100,13900,14200,12500,10600,10700,7400,5900,3500,1700
E08000021,Newcastle upon Tyne,300200,15600,16700,16400,23400,36700,23400,21300,19600,16900,16000,16800,17400,15500,12700,11800,7900,6000,4000,2200
E08000022,North Tyneside,209000,11000,11900,12100,10400,9500,12200,13900,14300,13700,13600,14600,15200,13600,12100,11800,7800,5700,3500,1900
E08000023,South Tyneside,147800,7800,8500,8600,7500,7300,8700,9900,9400,8500,8700,10400,11200,10500,8800,8400,5600,4300,2500,1300
E08000024,Sunderland,274200,13800,15200,16000,14600,15100,17000,18000,17100,15700,16800,19500,20000,18900,16100,15500,10200,7700,4500,2200
E12000002,North West,7417300,407700,445000,452400,430900,453700,476800,505900,485600,444800,458300,513500,512500,443700,375900,379500,269800,190500,110900,59600
